run,pattern,uptake_factor,peak_ngu,auc_ngu_ms,excess_auc_ngu_ms,time_above_ms,near_saturation_ms,clearance_ms
224,Burst,0.75,4.480473996668315,762.0033494693486,398.5443140479964,288.75,174.75,103.25
225,Burst,0.75,4.559092428000258,820.441691438156,442.573335139264,299.75,193.25,93.0
226,Burst,0.75,4.268791418033995,770.7512768548711,404.7297061496276,285.25,180.5,96.5
227,Burst,0.75,4.4762241752107395,778.2535697797986,408.819293890745,297.25,180.25,103.25
228,Burst,0.75,4.040195334837426,698.6475363603759,347.98479046905805,275.5,162.75,96.25
229,Burst,0.75,3.975341807805748,711.9926758407596,358.5162654691318,277.0,168.0,95.25
230,Burst,0.75,4.168129491034679,739.3519788360912,382.016172443641,285.0,173.5,98.25
231,Burst,0.75,4.006442380582078,667.8983935254704,326.7239851192552,260.25,152.75,82.75
232,Burst,0.75,4.425082255917899,814.4095963144191,438.4629532507441,296.0,186.75,98.0
233,Burst,0.75,4.651508488737178,783.9971809360951,415.2870996412277,296.0,180.0,88.0
234,Burst,0.75,4.120555245595624,770.0920866208129,403.4951088064619,291.25,184.25,95.0
235,Burst,0.75,4.475037744953676,805.2303830275854,432.12922521565815,297.25,189.75,94.5
236,Burst,0.75,4.133251797209988,729.0883759920732,372.2335506622559,278.5,170.5,95.5
237,Burst,0.75,4.294605778969303,763.9181462215129,399.6026553148862,284.25,178.75,94.0
238,Burst,0.75,4.127121253959007,697.0853196912338,347.54460039869394,270.5,163.75,88.5
239,Burst,0.75,4.027896259851461,719.6528867725013,365.49943017485293,274.25,169.0,93.0
240,Burst,0.75,4.254878006989391,748.7665515368822,387.7291651730284,282.5,174.75,88.25
241,Burst,0.75,4.949522555649332,795.105324309061,424.07816009208847,293.75,184.25,110.75
242,Burst,0.75,4.443783203869882,815.3157732825789,439.9322929984531,298.0,192.25,102.75
243,Burst,0.75,4.072833028892555,748.4520289197394,387.71260194194036,287.25,174.0,96.75
244,Burst,0.75,4.8193856756530415,823.2643593267969,444.8219169826681,304.25,192.0,96.5
245,Burst,0.75,4.644214205946199,815.1280826553235,440.1661738570523,296.5,189.25,96.75
246,Burst,0.75,4.230232316367745,758.3353423663266,395.7169502255038,282.5,178.0,87.0
247,Burst,0.75,4.645746309082631,847.4732487874485,463.70353475415504,314.5,196.0,106.0
248,Burst,0.75,4.092058541531628,720.9316800019188,365.6892927513679,275.0,169.5,92.0
249,Burst,0.75,4.260440320214928,770.3508138026715,405.2704912325815,289.0,180.25,87.5
250,Burst,0.75,4.751165704570474,814.1701041937639,439.5020949340016,299.0,189.25,93.75
251,Burst,0.75,4.373150295844041,721.8165826047161,367.3405253036847,275.75,168.5,101.5
252,Burst,0.75,4.599728400276465,823.0791025557771,444.80458326803057,306.75,193.75,96.5
253,Burst,0.75,4.426676902438972,806.1856994689116,431.2604330851888,299.0,188.25,101.75
254,Burst,0.75,4.341338684520595,799.4171508850535,427.37862802135703,297.0,188.0,97.25
255,Burst,0.75,4.540213504448325,794.672528087041,422.9614463426203,298.0,186.25,89.5
256,Burst,0.75,4.174562530327666,693.3225343078774,344.8073782879472,270.25,161.25,89.25
257,Burst,0.75,4.271253047503849,788.3087848207575,416.5446925638326,290.75,186.25,99.75
258,Burst,0.75,4.211258343386617,747.4567177673393,385.59650065690386,282.75,175.75,90.0
259,Burst,0.75,4.234663749361152,769.5700792970595,403.134942983415,287.25,180.5,97.75
260,Burst,0.75,4.361699642604175,767.8666625644213,403.49301395456524,289.75,179.75,89.25
261,Burst,0.75,4.268025092915745,772.4609522668621,405.89661011115857,286.75,182.5,93.75
262,Burst,0.75,4.203908211090138,711.8244169014093,360.91917914094483,270.25,166.25,98.75
263,Burst,0.75,4.461798033937642,862.850837916657,476.53697713965965,306.25,202.5,97.25
264,Burst,0.75,4.296869244071553,801.3494278967348,427.3389306317025,297.5,189.5,94.25
265,Burst,0.75,4.212978059782996,723.2909557395193,369.92227377253255,276.75,169.75,98.5
266,Burst,0.75,4.241533707141214,747.6045783328545,385.9567226194553,282.75,172.5,99.5
267,Burst,0.75,4.1328403333776835,709.9304825705966,358.825563045719,272.75,162.5,94.75
268,Burst,0.75,4.363817196676928,771.8464228185464,406.82019348054155,290.25,181.75,93.0
269,Burst,0.75,4.371493195070088,781.1081911336863,413.36327485097644,297.5,186.0,95.25
270,Burst,0.75,4.413916930943851,755.6785470881823,392.76825599545833,287.5,177.0,102.25
271,Burst,0.75,4.2276117784342215,765.9937079893924,399.1340919848425,288.75,181.75,99.25
272,Burst,0.75,4.209840033251562,727.0256208877477,370.3877324330358,276.0,170.25,85.5
273,Burst,0.75,4.011720892895641,717.0563136927559,362.5510514489415,275.75,170.0,95.0
274,Burst,0.75,4.21160296268433,732.932399793449,375.9443081156628,277.75,171.25,89.25
275,Burst,0.75,4.065744360396655,724.6962676859661,369.40296518135955,279.75,168.5,88.0
276,Burst,0.75,4.1673844496247945,734.8754355135826,377.99291594402433,281.5,177.0,98.25
277,Burst,0.75,4.649051330913023,851.6126110856856,469.3139982608117,306.0,199.0,95.75
