model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Linear,1.3836619418378735,0.13902406629995,0.9999999999999987
Linear,1.663527542205342,0.13902406629995,0.9999999999999984
Linear,2.0,0.13902406629995,1.0000000000000002
Michaelis-Menten,0.02,0.13902406629995,1.0048395286414655
Michaelis-Menten,0.024045288692348264,0.13902406629995,1.0057593877455833
Michaelis-Menten,0.02890879541491855,0.13902406629995,1.0068377825400832
Michaelis-Menten,0.03475601657498751,0.13902406629995,1.008093648111243
Michaelis-Menten,0.0417859226170808,0.13902406629995,1.0095433020712627
Michaelis-Menten,0.050237728630191596,0.13902406629995,1.0111966568232298
Michaelis-Menten,0.06039903440804033,0.13902406629995,1.013050996511021
Michaelis-Menten,0.07261561095402029,0.13902406629995,1.0150810054912764
Michaelis-Menten,0.08730316644803322,0.13902406629995,1.0172231527050841
Michaelis-Menten,0.10496149204995453,0.13902406629995,1.0193518660055751
Michaelis-Menten,0.1261914688960387,0.13902406629995,1.021244471504703
Michaelis-Menten,0.15171551500583677,0.13902406629995,1.0225325939733143
Michaelis-Menten,0.18240216787118196,0.13902406629995,1.022642357803639
Michaelis-Menten,0.21929563922863704,0.13902406629995,1.0207415202491865
Michaelis-Menten,0.2636513477112815,0.13902406629995,1.0157558044646064
Michaelis-Menten,0.3169786384922227,0.13902406629995,1.0066183387900987
Michaelis-Menten,0.38109214359264953,0.13902406629995,0.99305428324915
Michaelis-Menten,0.45817353055355475,0.13902406629995,0.9769880948165729
Michaelis-Menten,0.5508457406676333,0.13902406629995,0.9631695067052339
Michaelis-Menten,0.6622622429651823,0.13902406629995,0.956422871590862
Michaelis-Menten,0.7962143411069947,0.13902406629995,0.9575628323624485
Michaelis-Menten,0.9572601846452766,0.13902406629995,0.9636698237715565
Michaelis-Menten,1.150879874674314,0.13902406629995,0.9713541908180994
Michaelis-Menten,1.3836619418378735,0.13902406629995,0.9785410381638705
Michaelis-Menten,1.663527542205342,0.13902406629995,0.9844243556098953
Michaelis-Menten,2.0,0.13902406629995,0.9889113173378408
Transporter-state,0.02,0.13902406629995,0.9950919068277101
Transporter-state,0.024045288692348264,0.13902406629995,0.9922994645470973
Transporter-state,0.02890879541491855,0.13902406629995,0.9868594281534342
Transporter-state,0.03475601657498751,0.13902406629995,0.9770446392347383
Transporter-state,0.0417859226170808,0.13902406629995,0.9703555073802814
Transporter-state,0.050237728630191596,0.13902406629995,0.9735022652236702
Transporter-state,0.06039903440804033,0.13902406629995,0.979043568756655
Transporter-state,0.07261561095402029,0.13902406629995,0.9840272693322202
Transporter-state,0.08730316644803322,0.13902406629995,0.9886543296929435
Transporter-state,0.10496149204995453,0.13902406629995,0.9918119131159574
Transporter-state,0.1261914688960387,0.13902406629995,0.9938919340949032
Transporter-state,0.15171551500583677,0.13902406629995,0.9954061821856024
Transporter-state,0.18240216787118196,0.13902406629995,0.996590162948277
Transporter-state,0.21929563922863704,0.13902406629995,0.9975247582757918
