run,model,pattern,release_cv,isi_cv,minimum_isi_ms,gamma_shape,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
169,Linear,Renewal,0.0,2.0156998777342934,0.2303431437337622,0.3502371529412588,0.3791249891865631,1.8667690465374966,0.02297166337849867,1.68,1.0
170,Linear,Renewal,0.0,0.23813596088097516,20.913256745051513,17.67869771773472,0.25,1.8667690465374907,0.0,1.68,1.0
171,Linear,Renewal,0.0,1.3832928283087873,0.0011863729915830845,0.38672794080354617,0.8782150956042324,1.8667690465375006,0.1965248475055915,1.68,1.0
172,Linear,Renewal,0.0,0.2400299450694289,23.811395126015952,14.896999919939173,0.25,1.8667690465374907,0.0,1.68,1.0
173,Linear,Renewal,0.0,0.2314168083839492,26.337089330669755,19.690810142590852,0.25,1.8667690465374907,0.0,1.68,1.0
174,Linear,Renewal,0.0,1.178858082542383,0.12430074203552977,0.4822761967052233,0.42966982856517894,1.8667690465375029,0.0266702349840586,1.68,1.0
175,Linear,Renewal,0.0,1.5655429985121296,0.03405043709472011,0.39250760337168816,0.6566530644206195,1.866769046537501,0.06826953736632779,1.68,1.0
176,Linear,Renewal,0.0,0.7335958412926988,13.892186437253827,1.85091001639584,0.25,1.8667690465374907,0.0,1.68,1.0
177,Linear,Renewal,0.0,0.34816858628748837,15.857035009848872,9.294723154446169,0.25,1.8667690465374907,0.0,1.68,1.0
178,Linear,Renewal,0.0,0.8179029686313599,0.955819927448033,1.2470665606951619,0.2677918523826748,1.86676904653749,0.0004264762400905764,1.7,1.0
179,Linear,Renewal,0.0,0.7517705705255547,0.7785422636376751,1.5448979558587093,0.2792023935504747,1.8667690465374907,0.0008707804879524971,1.68,1.0
180,Linear,Renewal,0.0,0.9470294891630336,0.7101432619074615,0.5282257805893114,0.2866428472963384,1.8667690465374938,0.001646273854244712,1.68,1.0
181,Linear,Renewal,0.0,0.8936056341998064,1.7140958384535452,0.7115066369624198,0.2521958891692623,1.8667690465375026,4.392821586097662e-05,1.68,1.0
182,Linear,Renewal,0.0,0.537627523286733,13.40329703316445,2.2544816742269336,0.25,1.8667690465374907,0.0,1.68,1.0
183,Linear,Renewal,0.0,1.6355672684237585,0.00015357673228777458,0.279430516031155,0.5,1.8667690465375002,0.07549797814857843,1.68,1.0
184,Linear,Renewal,0.0,0.676628649004568,5.787029148860256,2.140425773842397,0.2500000307408695,1.8667690465374909,6.791460371857739e-10,1.68,1.0
