run,model,pattern,release_cv,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
297,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
298,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
299,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
0,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
1,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
2,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
3,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
4,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
5,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
6,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
7,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
8,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
9,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
10,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
11,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
12,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
13,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
14,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
15,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
16,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
17,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
18,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
19,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
20,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
21,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
22,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
23,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
24,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
25,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
26,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
27,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
28,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
29,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
30,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
31,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
32,Michaelis-Menten,Tonic,0.0,0.25,1.9639091742525672,0.0,1.6600000000000001,1.0
